East Coast (PADD 1) Net Receipts by Pipeline Tanker Barge and Rail from Other PADDs of Crude Oil and Petroleum Products Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MTTNRP11.M
09:48:43 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MTTNRP11.M Thousand Barrels
Aug 2019,112020
Jul 2019,110038
Jun 2019,106737
May 2019,114626
Apr 2019,102860
Mar 2019,114909
Feb 2019,101260
Jan 2019,123928
Dec 2018,125823
Nov 2018,111279
Oct 2018,108093
Sep 2018,110264
Aug 2018,107839
Jul 2018,102268
Jun 2018,104630
May 2018,105290
Apr 2018,109677
Mar 2018,107863
Feb 2018,103657
Jan 2018,116374
Dec 2017,117924
Nov 2017,110782
Oct 2017,104391
Sep 2017,87498
Aug 2017,100429
Jul 2017,102829
Jun 2017,101884
May 2017,105355
Apr 2017,103332
Mar 2017,107590
Feb 2017,102052
Jan 2017,117106
Dec 2016,111221
Nov 2016,101038
Oct 2016,106792
Sep 2016,95444
Aug 2016,108307
Jul 2016,109636
Jun 2016,104334
May 2016,105441
Apr 2016,103581
Mar 2016,110793
Feb 2016,107795
Jan 2016,114486
Dec 2015,120515
Nov 2015,111261
Oct 2015,117356
Sep 2015,115673
Aug 2015,120077
Jul 2015,111126
Jun 2015,113946
May 2015,115155
Apr 2015,110554
Mar 2015,121339
Feb 2015,107343
Jan 2015,119016
Dec 2014,124019
Nov 2014,115384
Oct 2014,113977
Sep 2014,111032
Aug 2014,117412
Jul 2014,117449
Jun 2014,109762
May 2014,113301
Apr 2014,112126
Mar 2014,116531
Feb 2014,105053
Jan 2014,118575
Dec 2013,124901
Nov 2013,114940
Oct 2013,109798
Sep 2013,105114
Aug 2013,109866
Jul 2013,108089
Jun 2013,106563
May 2013,102525
Apr 2013,105483
Mar 2013,107268
Feb 2013,100948
Jan 2013,105779
Dec 2012,112451
Nov 2012,108432
Oct 2012,97895
Sep 2012,93430
Aug 2012,100989
Jul 2012,102036
Jun 2012,99117
May 2012,100598
Apr 2012,96818
Mar 2012,102108
Feb 2012,94429
Jan 2012,106577
Dec 2011,101993
Nov 2011,102494
Oct 2011,97928
Sep 2011,97135
Aug 2011,99274
Jul 2011,96733
Jun 2011,92126
May 2011,88672
Apr 2011,91092
Mar 2011,101620
Feb 2011,95682
Jan 2011,104779
Dec 2010,105964
Nov 2010,96025
Oct 2010,99175
Sep 2010,85568
Aug 2010,95768
Jul 2010,94318
Jun 2010,92387
May 2010,94272
Apr 2010,94423
Mar 2010,93068
Feb 2010,89690
Jan 2010,95727
Dec 2009,94985
Nov 2009,97674
Oct 2009,86610
Sep 2009,92198
Aug 2009,88637
Jul 2009,85408
Jun 2009,89112
May 2009,92350
Apr 2009,96621
Mar 2009,94918
Feb 2009,86078
Jan 2009,94917
Dec 2008,89223
Nov 2008,84838
Oct 2008,77030
Sep 2008,57041
Aug 2008,78914
Jul 2008,82769
Jun 2008,76498
May 2008,80924
Apr 2008,78885
Mar 2008,82302
Feb 2008,79583
Jan 2008,91451
Dec 2007,86535
Nov 2007,83215
Oct 2007,81767
Sep 2007,79626
Aug 2007,82215
Jul 2007,84667
Jun 2007,81950
May 2007,81772
Apr 2007,81016
Mar 2007,90590
Feb 2007,83738
Jan 2007,92898
Dec 2006,90889
Nov 2006,86077
Oct 2006,85991
Sep 2006,84881
Aug 2006,88318
Jul 2006,88407
Jun 2006,85185
May 2006,84042
Apr 2006,80481
Mar 2006,80663
Feb 2006,79644
Jan 2006,86694
Dec 2005,90381
Nov 2005,80234
Oct 2005,71263
Sep 2005,73227
Aug 2005,92652
Jul 2005,90565
Jun 2005,89202
May 2005,88402
Apr 2005,83384
Mar 2005,91403
Feb 2005,84352
Jan 2005,96401
Dec 2004,100332
Nov 2004,94388
Oct 2004,91601
Sep 2004,89394
Aug 2004,92257
Jul 2004,91315
Jun 2004,86603
May 2004,85884
Apr 2004,85174
Mar 2004,91027
Feb 2004,85763
Jan 2004,100325
Dec 2003,103571
Nov 2003,94418
Oct 2003,96817
Sep 2003,87577
Aug 2003,87744
Jul 2003,84336
Jun 2003,85199
May 2003,90876
Apr 2003,87332
Mar 2003,84463
Feb 2003,79169
Jan 2003,98169
Dec 2002,98177
Nov 2002,87122
Oct 2002,80883
Sep 2002,76994
Aug 2002,86039
Jul 2002,82663
Jun 2002,84166
May 2002,86469
Apr 2002,83230
Mar 2002,84805
Feb 2002,76625
Jan 2002,89144
Dec 2001,91843
Nov 2001,85779
Oct 2001,93014
Sep 2001,82936
Aug 2001,90836
Jul 2001,92182
Jun 2001,84434
May 2001,92399
Apr 2001,85020
Mar 2001,83681
Feb 2001,74685
Jan 2001,93806
Dec 2000,95452
Nov 2000,92700
Oct 2000,88970
Sep 2000,86292
Aug 2000,89252
Jul 2000,86381
Jun 2000,88342
May 2000,84711
Apr 2000,81055
Mar 2000,84173
Feb 2000,79836
Jan 2000,82525
Dec 1999,89531
Nov 1999,82696
Oct 1999,88783
Sep 1999,81778
Aug 1999,84963
Jul 1999,86041
Jun 1999,81873
May 1999,90946
Apr 1999,88319
Mar 1999,91417
Feb 1999,80019
Jan 1999,91101
Dec 1998,96676
Nov 1998,90069
Oct 1998,89660
Sep 1998,89100
Aug 1998,90123
Jul 1998,91931
Jun 1998,88183
May 1998,94320
Apr 1998,93242
Mar 1998,85988
Feb 1998,82142
Jan 1998,95449
Dec 1997,104732
Nov 1997,97168
Oct 1997,96954
Sep 1997,83774
Aug 1997,88299
Jul 1997,85900
Jun 1997,82186
May 1997,88324
Apr 1997,78151
Mar 1997,77608
Feb 1997,80249
Jan 1997,96319
Dec 1996,96046
Nov 1996,92302
Oct 1996,87994
Sep 1996,80876
Aug 1996,84050
Jul 1996,83179
Jun 1996,83136
May 1996,86764
Apr 1996,85861
Mar 1996,88861
Feb 1996,87375
Jan 1996,98090
Dec 1995,95485
Nov 1995,85885
Oct 1995,85337
Sep 1995,80301
Aug 1995,78467
Jul 1995,82391
Jun 1995,74287
May 1995,83120
Apr 1995,77658
Mar 1995,83147
Feb 1995,75389
Jan 1995,90024
Dec 1994,88451
Nov 1994,79914
Oct 1994,68016
Sep 1994,79719
Aug 1994,80632
Jul 1994,70260
Jun 1994,73430
May 1994,77505
Apr 1994,70423
Mar 1994,79887
Feb 1994,76324
Jan 1994,81145
Dec 1993,87874
Nov 1993,82045
Oct 1993,80915
Sep 1993,73321
Aug 1993,76690
Jul 1993,73350
Jun 1993,68959
May 1993,69941
Apr 1993,76947
Mar 1993,85460
Feb 1993,77001
Jan 1993,85566
Dec 1992,88885
Nov 1992,81050
Oct 1992,80128
Sep 1992,73311
Aug 1992,73348
Jul 1992,73134
Jun 1992,70705
May 1992,70342
Apr 1992,74731
Mar 1992,75227
Feb 1992,78866
Jan 1992,84073
Dec 1991,83520
Nov 1991,76638
Oct 1991,75481
Sep 1991,71510
Aug 1991,71171
Jul 1991,72779
Jun 1991,70011
May 1991,67636
Apr 1991,74381
Mar 1991,75918
Feb 1991,66622
Jan 1991,83045
Dec 1990,82209
Nov 1990,77065
Oct 1990,79837
Sep 1990,75878
Aug 1990,81473
Jul 1990,76483
Jun 1990,71561
May 1990,75125
Apr 1990,74132
Mar 1990,76573
Feb 1990,74670
Jan 1990,81432
Dec 1989,83717
Nov 1989,77836
Oct 1989,80236
Sep 1989,70455
Aug 1989,78352
Jul 1989,74719
Jun 1989,70909
May 1989,71195
Apr 1989,74625
Mar 1989,79931
Feb 1989,72380
Jan 1989,88030
Dec 1988,89187
Nov 1988,74864
Oct 1988,75279
Sep 1988,71006
Aug 1988,76673
Jul 1988,73304
Jun 1988,73196
May 1988,74377
Apr 1988,69130
Mar 1988,77444
Feb 1988,87432
Jan 1988,89223
Dec 1987,89540
Nov 1987,81057
Oct 1987,81426
Sep 1987,72471
Aug 1987,74166
Jul 1987,74292
Jun 1987,72536
May 1987,72898
Apr 1987,74711
Mar 1987,74672
Feb 1987,71116
Jan 1987,91777
Dec 1986,92970
Nov 1986,79366
Oct 1986,83814
Sep 1986,79601
Aug 1986,77765
Jul 1986,75800
Jun 1986,76484
May 1986,77604
Apr 1986,73856
Mar 1986,85170
Feb 1986,78997
Jan 1986,91180
Dec 1985,87912
Nov 1985,76639
Oct 1985,77530
Sep 1985,69445
Aug 1985,74394
Jul 1985,73469
Jun 1985,71720
May 1985,71294
Apr 1985,71457
Mar 1985,76152
Feb 1985,73432
Jan 1985,80406
Dec 1984,86805
Nov 1984,80034
Oct 1984,84673
Sep 1984,71006
Aug 1984,71115
Jul 1984,68923
Jun 1984,70032
May 1984,77031
Apr 1984,73530
Mar 1984,77963
Feb 1984,80434
Jan 1984,82051
Dec 1983,90585
Nov 1983,80552
Oct 1983,80248
Sep 1983,76158
Aug 1983,82036
Jul 1983,79872
Jun 1983,75604
May 1983,79354
Apr 1983,79132
Mar 1983,77378
Feb 1983,73437
Jan 1983,83128
Dec 1982,83816
Nov 1982,90672
Oct 1982,85886
Sep 1982,78037
Aug 1982,78166
Jul 1982,80781
Jun 1982,81262
May 1982,79239
Apr 1982,77118
Mar 1982,78304
Feb 1982,76281
Jan 1982,91429
Dec 1981,90713
Nov 1981,80145
Oct 1981,83040
Sep 1981,82956
Aug 1981,78752
Jul 1981,76335
Jun 1981,78212
May 1981,82389
Apr 1981,75292
Mar 1981,88479
Feb 1981,90306
Jan 1981,103506
