East Coast (PADD 1) Net Receipts by Pipeline Tanker Barge and Rail from Other PADDs of Renewable Fuels (including Fuel Ethanol) Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.M_EPOOR_VNR_R10-Z0P_MBBL.M
09:48:33 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.M_EPOOR_VNR_R10-Z0P_MBBL.M Thousand Barrels
Aug 2019,9570
Jul 2019,10240
Jun 2019,9107
May 2019,10926
Apr 2019,10755
Mar 2019,9084
Feb 2019,8984
Jan 2019,9782
Dec 2018,11602
Nov 2018,8049
Oct 2018,9712
Sep 2018,10302
Aug 2018,9850
Jul 2018,9205
Jun 2018,9963
May 2018,8819
Apr 2018,11277
Mar 2018,9921
Feb 2018,8578
Jan 2018,8991
Dec 2017,11486
Nov 2017,9907
Oct 2017,8357
Sep 2017,10209
Aug 2017,9342
Jul 2017,9907
Jun 2017,9384
May 2017,9067
Apr 2017,8741
Mar 2017,9840
Feb 2017,8385
Jan 2017,10499
Dec 2016,9491
Nov 2016,10205
Oct 2016,7744
Sep 2016,9851
Aug 2016,10656
Jul 2016,8162
Jun 2016,8833
May 2016,9867
Apr 2016,8061
Mar 2016,10832
Feb 2016,8444
Jan 2016,10081
Dec 2015,8671
Nov 2015,8527
Oct 2015,7853
Sep 2015,8750
Aug 2015,9048
Jul 2015,7459
Jun 2015,10007
May 2015,7331
Apr 2015,7536
Mar 2015,10039
Feb 2015,7341
Jan 2015,9229
Dec 2014,8795
Nov 2014,9361
Oct 2014,6243
Sep 2014,8005
Aug 2014,8774
Jul 2014,8586
Jun 2014,7133
May 2014,9095
Apr 2014,9797
Mar 2014,8450
Feb 2014,8090
Jan 2014,7875
Dec 2013,9653
Nov 2013,8307
Oct 2013,7815
Sep 2013,8109
Aug 2013,8934
Jul 2013,8490
Jun 2013,8102
May 2013,8280
Apr 2013,8219
Mar 2013,6624
Feb 2013,7414
Jan 2013,7647
Dec 2012,8790
Nov 2012,9339
Oct 2012,6882
Sep 2012,6588
Aug 2012,7057
Jul 2012,7109
Jun 2012,6701
May 2012,8665
Apr 2012,8317
Mar 2012,9448
Feb 2012,8483
Jan 2012,11417
Dec 2011,9450
Nov 2011,8071
Oct 2011,8982
Sep 2011,8119
Aug 2011,8971
Jul 2011,8638
Jun 2011,7911
May 2011,8766
Apr 2011,9192
Mar 2011,10064
Feb 2011,9184
Jan 2011,9585
Dec 2010,9741
Nov 2010,8645
Oct 2010,9742
Sep 2010,7643
Aug 2010,9068
Jul 2010,8800
Jun 2010,8698
May 2010,7737
Apr 2010,6985
Mar 2010,9933
Feb 2010,8137
Jan 2010,9001
Dec 2009,9425
Nov 2009,9150
Oct 2009,8742
Sep 2009,8748
Aug 2009,8532
Jul 2009,8636
Jun 2009,8292
May 2009,7470
Apr 2009,7280
Mar 2009,7765
Feb 2009,9041
Jan 2009,7447
