U.S. Ending Stocks of Renewable Diesel Fuel Monthly,
https://www.eia.gov/opendata/qb.php?sdid=PET.M_EPOORD_SAE_NUS_MBBL.M,
08:37:42 GMT-0800 (Pacific Standard Time),
Source: U.S. Energy Information Administration,
Month,Series ID: PET.M_EPOORD_SAE_NUS_MBBL.M Thousand Barrels
Jan-09,664
Feb-09,424
Mar-09,665
Apr-09,632
May-09,600
Jun-09,581
Jul-09,511
Aug-09,511
Sep-09,527
Oct-09,553
Nov-09,531
Dec-09,711
Jan-10,1049
Feb-10,1039
Mar-10,1057
Apr-10,1009
May-10,1016
Jun-10,968
Jul-10,830
Aug-10,771
Sep-10,682
Oct-10,650
Nov-10,676
Dec-10,672
Jan-11,1016
Feb-11,1217
Mar-11,1381
Apr-11,1408
May-11,1576
Jun-11,1524
Jul-11,1748
Aug-11,1834
Sep-11,1617
Oct-11,1965
Nov-11,1877
Dec-11,2012
Jan-12,2510
Feb-12,2895
Mar-12,2893
Apr-12,2783
May-12,2710
Jun-12,2348
Jul-12,2262
Aug-12,2011
Sep-12,2049
Oct-12,2176
Nov-12,1862
Dec-12,2078
Jan-13,2081
Feb-13,2084
Mar-13,2486
Apr-13,2583
May-13,2590
Jun-13,2562
Jul-13,2792
Aug-13,3095
Sep-13,3046
Oct-13,2969
Nov-13,4025
Dec-13,4501
Jan-14,4378
Feb-14,4353
Mar-14,4203
Apr-14,3776
May-14,3527
Jun-14,3144
Jul-14,3684
Aug-14,3149
Sep-14,2667
Oct-14,2864
Nov-14,3306
Dec-14,3481
Jan-15,4435
Feb-15,4627
Mar-15,4776
Apr-15,4538
May-15,4315
Jun-15,3757
Jul-15,4126
Aug-15,4212
Sep-15,3746
Oct-15,3880
Nov-15,4257
Dec-15,4577
Jan-16,5015
Feb-16,4888
Mar-16,4829
Apr-16,5285
May-16,4865
Jun-16,5516
Jul-16,5374
Aug-16,5394
Sep-16,5115
Oct-16,5703
Nov-16,6228
Dec-16,7713
Jan-17,7420
Feb-17,7487
Mar-17,7109
Apr-17,6632
May-17,5770
Jun-17,5838
Jul-17,6113
Aug-17,6034
Sep-17,5580
Oct-17,5217
Nov-17,5114
Dec-17,5021
Jan-18,5680
Feb-18,5946
Mar-18,6230
Apr-18,6275
May-18,5247
Jun-18,4980
Jul-18,4769
Aug-18,4559
Sep-18,4470
Oct-18,4905
Nov-18,5474
Dec-18,6389
Jan-19,7342
Feb-19,7606
Mar-19,7420
Apr-19,7299
May-19,6602
Jun-19,6323
Jul-19,6445
Aug-19,5551
