U.S. Real Cost per Crude Oil Natural Gas and Dry Well Drilled Annual
https://www.eia.gov/opendata/qb.php?sdid=PET.E_ERTW0_XWWR_NUS_MDW.A
08:57:53 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: PET.E_ERTW0_XWWR_NUS_MDW.A Thousand Dollars per Well
2007,3481.8
2006,1801.3
2005,1522.3
2004,1528.5
2003,1127.4
2002,1011.9
2001,921.1
2000,754.6
1999,874.8
1998,797.2
1997,632.9
1996,528.6
1995,557.4
1994,535.4
1993,482.9
1992,442.9
1991,499.1
1990,470.2
1989,461.1
1988,468.6
1987,382
1986,511.7
1985,501.2
1984,482.5
1983,570.1
1982,820
1981,767.4
1980,680.4
1979,668.8
1978,611.8
1977,531.4
1976,476.7
1975,467.9
1974,399.5
1973,367.8
1972,352.8
1971,327.6
1970,344.6
1969,338.7
1968,327
1967,305.1
1966,295.1
1965,269.1
1964,252.2
1963,252.4
1962,271.8
1961,256.2
1960,261.1
