U.S. Total Gasoline All Sales per Deliveries by Prime Supplier Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.C100000001.M
09:50:29 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.C100000001.M Thousand Gallons per Day
Aug 2019,387507.6
Jul 2019,379889.3
Jun 2019,377477
May 2019,377445.2
Apr 2019,368469.3
Mar 2019,358189.1
Feb 2019,350079.4
Jan 2019,342249.4
Dec 2018,363843.6
Nov 2018,372857.2
Oct 2018,378336.5
Sep 2018,371360.6
Aug 2018,390031.8
Jul 2018,383738.2
Jun 2018,391639.9
May 2018,386016
Apr 2018,374734.3
Mar 2018,374065.7
Feb 2018,361349.3
Jan 2018,346362.5
Dec 2017,367772.7
Nov 2017,373371.4
Oct 2017,380226.4
Sep 2017,375113.6
Aug 2017,391955.9
Jul 2017,383921.1
Jun 2017,393199.5
May 2017,383905.1
Apr 2017,375532.7
Mar 2017,372578
Feb 2017,359386.3
Jan 2017,343474.5
Dec 2016,367595.8
Nov 2016,369832.5
Oct 2016,373717.8
Sep 2016,375497.9
Aug 2016,384718.7
Jul 2016,385165.4
Jun 2016,389669.5
May 2016,373972.4
Apr 2016,370840.6
Mar 2016,366846.1
Feb 2016,360546.8
Jan 2016,342192.8
Dec 2015,357455.7
Nov 2015,357796.9
Oct 2015,364053
Sep 2015,365649
Aug 2015,371183
Jul 2015,374628.1
Jun 2015,373640.6
May 2015,363206.7
Apr 2015,363960.8
Mar 2015,353325
Feb 2015,350723.3
Jan 2015,336514
Dec 2014,348016
Nov 2014,347193.7
Oct 2014,354962.2
Sep 2014,345832.2
Aug 2014,355024.7
Jul 2014,356085.8
Jun 2014,353345.7
May 2014,354700
Apr 2014,346400
Mar 2014,340445.2
Feb 2014,334997.9
Jan 2014,322546.8
Dec 2013,339797.8
Nov 2013,345431.1
Oct 2013,347905.1
Sep 2013,344753.3
Aug 2013,360621.2
Jul 2013,355964.6
Jun 2013,359454.4
May 2013,357563.7
Apr 2013,351699.1
Mar 2013,345879.9
Feb 2013,341507.9
Jan 2013,332833.7
Dec 2012,339377.3
Nov 2012,344150.9
Oct 2012,351417.5
Sep 2012,341115.6
Aug 2012,360886.1
Jul 2012,353467
Jun 2012,362301
May 2012,353967.2
Apr 2012,346056
Mar 2012,344305.4
Feb 2012,343471.6
Jan 2012,326206.9
Dec 2011,356700.6
Nov 2011,355103.6
Oct 2011,355416
Sep 2011,359636.8
Aug 2011,370095.5
Jul 2011,359158.6
Jun 2011,363300.9
May 2011,353234.7
Apr 2011,353211.1
Mar 2011,352630.5
Feb 2011,347283.1
Jan 2011,333278.7
Dec 2010,359633.9
Nov 2010,357911.7
Oct 2010,362063.8
Sep 2010,369443.2
Aug 2010,379138.6
Jul 2010,380748.1
Jun 2010,379936
May 2010,372032.8
Apr 2010,371490.6
Mar 2010,362671.7
Feb 2010,351848.4
Jan 2010,335329.3
Dec 2009,360567.2
Nov 2009,352940.3
Oct 2009,360349.5
Sep 2009,365338.3
Aug 2009,371446.3
Jul 2009,375451.2
Jun 2009,377793.5
May 2009,369845.6
Apr 2009,366179.9
Mar 2009,355900.8
Feb 2009,355341.5
Jan 2009,342062.7
Dec 2008,361649.4
Nov 2008,356401.8
Oct 2008,367401
Sep 2008,350425.3
Aug 2008,367087.6
Jul 2008,363029.5
Jun 2008,367346.2
May 2008,368957.4
Apr 2008,371623.2
Mar 2008,364816.2
Feb 2008,364644.3
Jan 2008,352153.3
Dec 2007,362633.1
Nov 2007,370591.4
Oct 2007,380390.6
Sep 2007,375442.7
Aug 2007,391683.3
Jul 2007,381336.7
Jun 2007,390003.8
May 2007,385243.6
Apr 2007,374146.1
Mar 2007,376284.7
Feb 2007,372551.8
Jan 2007,359050.7
Dec 2006,373946.3
Nov 2006,377075.1
Oct 2006,378363.4
Sep 2006,377389
Aug 2006,392482.4
Jul 2006,384612.7
Jun 2006,391007
May 2006,381539.6
Apr 2006,379166.5
Mar 2006,375222.1
Feb 2006,370808.1
Jan 2006,349490.1
Dec 2005,377060.1
Nov 2005,373805.8
Oct 2005,368895.1
Sep 2005,368882.3
Aug 2005,399133.6
Jul 2005,390661.6
Jun 2005,395341.8
May 2005,388167.8
Apr 2005,380809.4
Mar 2005,378044.4
Feb 2005,369812.3
Jan 2005,350388.6
Dec 2004,379501.7
Nov 2004,368125.1
Oct 2004,370616
Sep 2004,375697.2
Aug 2004,384187.7
Jul 2004,385513.2
Jun 2004,383443.8
May 2004,373860.7
Apr 2004,375386.6
Mar 2004,368985.9
Feb 2004,354176.8
Jan 2004,347495.3
Dec 2003,369796.2
Nov 2003,364938.8
Oct 2003,382446.5
Sep 2003,375971.4
Aug 2003,390542.3
Jul 2003,389831.3
Jun 2003,380903.5
May 2003,377611.2
Apr 2003,364468.4
Mar 2003,354496.3
Feb 2003,351393.3
Jan 2003,347064.9
Dec 2002,362595.5
Nov 2002,366073.6
Oct 2002,374162.4
Sep 2002,362285.1
Aug 2002,389738
Jul 2002,384409
Jun 2002,382719.3
May 2002,380735.8
Apr 2002,372778.4
Mar 2002,361490.8
Feb 2002,360267.8
Jan 2002,345610.1
Dec 2001,361098.1
Nov 2001,362764.8
Oct 2001,367685.3
Sep 2001,356021.6
Aug 2001,381999.3
Jul 2001,372548.6
Jun 2001,374951.2
May 2001,365689.1
Apr 2001,360513.3
Mar 2001,355063.7
Feb 2001,348254.2
Jan 2001,332311.3
Dec 2000,357733
Nov 2000,353150.8
Oct 2000,354874.6
Sep 2000,354559.1
Aug 2000,372249.6
Jul 2000,362793.6
Jun 2000,371614.6
May 2000,365731.5
Apr 2000,349434.7
Mar 2000,347882.2
Feb 2000,345228.4
Jan 2000,311407.7
Dec 1999,375695.1
Nov 1999,354350.4
Oct 1999,357262.6
Sep 1999,357659.4
Aug 1999,368014.3
Jul 1999,373161.5
Jun 1999,373982
May 1999,360674.8
Apr 1999,359659.2
Mar 1999,357105.4
Feb 1999,347337.8
Jan 1999,323265.9
Dec 1998,356435.4
Nov 1998,347231.3
Oct 1998,359486.6
Sep 1998,355466.6
Aug 1998,363216.5
Jul 1998,370309.5
Jun 1998,368321.4
May 1998,355069.1
Apr 1998,351645.5
Mar 1998,343963.5
Feb 1998,335167.1
Jan 1998,323496
Dec 1997,348581.1
Nov 1997,337550.4
Oct 1997,351432.4
Sep 1997,343092.7
Aug 1997,358387.5
Jul 1997,363440
Jun 1997,351113.5
May 1997,348075.6
Apr 1997,344051.8
Mar 1997,335799.6
Feb 1997,329821.2
Jan 1997,317585
Dec 1996,337018.8
Nov 1996,340286.4
Oct 1996,344902.4
Sep 1996,335198.3
Aug 1996,355688.7
Jul 1996,353754.4
Jun 1996,348403.5
May 1996,345818.8
Apr 1996,342258.7
Mar 1996,331178.9
Feb 1996,326881.1
Jan 1996,311386.5
Dec 1995,333498.6
Nov 1995,337841
Oct 1995,338400.5
Sep 1995,337234.6
Aug 1995,354811.1
Jul 1995,343697.5
Jun 1995,353167.9
May 1995,341311.1
Apr 1995,329827.7
Mar 1995,331126.4
Feb 1995,322421.1
Jan 1995,305943.5
Dec 1994,334972.5
Nov 1994,329429.5
Oct 1994,330463.6
Sep 1994,333013.4
Aug 1994,343779.9
Jul 1994,336288.9
Jun 1994,342276.6
May 1994,330510.6
Apr 1994,330060.6
Mar 1994,324234
Feb 1994,314953.6
Jan 1994,299392
